,Solar,Wind Onshore
2021-08-24 00:00:00+02:00,0.0,355.0
2021-08-24 00:15:00+02:00,0.0,352.0
2021-08-24 00:30:00+02:00,0.0,349.0
2021-08-24 00:45:00+02:00,0.0,346.0
2021-08-24 01:00:00+02:00,0.0,344.0
2021-08-24 01:15:00+02:00,0.0,341.0
2021-08-24 01:30:00+02:00,0.0,341.0
2021-08-24 01:45:00+02:00,0.0,343.0
2021-08-24 02:00:00+02:00,0.0,345.0
2021-08-24 02:15:00+02:00,0.0,348.0
2021-08-24 02:30:00+02:00,0.0,351.0
2021-08-24 02:45:00+02:00,0.0,353.0
2021-08-24 03:00:00+02:00,0.0,356.0
2021-08-24 03:15:00+02:00,0.0,363.0
2021-08-24 03:30:00+02:00,0.0,371.0
2021-08-24 03:45:00+02:00,0.0,379.0
2021-08-24 04:00:00+02:00,0.0,387.0
2021-08-24 04:15:00+02:00,0.0,397.0
2021-08-24 04:30:00+02:00,0.0,408.0
2021-08-24 04:45:00+02:00,0.0,418.0
2021-08-24 05:00:00+02:00,0.0,428.0
2021-08-24 05:15:00+02:00,0.0,429.0
2021-08-24 05:30:00+02:00,0.0,430.0
2021-08-24 05:45:00+02:00,0.0,432.0
2021-08-24 06:00:00+02:00,0.0,437.0
2021-08-24 06:15:00+02:00,0.0,438.0
2021-08-24 06:30:00+02:00,0.0,437.0
2021-08-24 06:45:00+02:00,17.0,436.0
2021-08-24 07:00:00+02:00,99.0,433.0
2021-08-24 07:15:00+02:00,230.0,416.0
2021-08-24 07:30:00+02:00,394.0,396.0
2021-08-24 07:45:00+02:00,576.0,366.0
2021-08-24 08:00:00+02:00,769.0,335.0
2021-08-24 08:15:00+02:00,981.0,309.0
2021-08-24 08:30:00+02:00,1208.0,288.0
2021-08-24 08:45:00+02:00,1438.0,273.0
2021-08-24 09:00:00+02:00,1666.0,265.0
2021-08-24 09:15:00+02:00,1903.0,262.0
2021-08-24 09:30:00+02:00,2138.0,264.0
2021-08-24 09:45:00+02:00,2355.0,267.0
2021-08-24 10:00:00+02:00,2539.0,269.0
2021-08-24 10:15:00+02:00,2699.0,275.0
2021-08-24 10:30:00+02:00,2836.0,280.0
2021-08-24 10:45:00+02:00,2952.0,285.0
2021-08-24 11:00:00+02:00,3043.0,290.0
2021-08-24 11:15:00+02:00,3108.0,297.0
2021-08-24 11:30:00+02:00,3153.0,305.0
2021-08-24 11:45:00+02:00,3184.0,312.0
2021-08-24 12:00:00+02:00,3203.0,320.0
2021-08-24 12:15:00+02:00,3203.0,321.0
2021-08-24 12:30:00+02:00,3203.0,323.0
2021-08-24 12:45:00+02:00,3203.0,324.0
2021-08-24 13:00:00+02:00,3191.0,326.0
2021-08-24 13:15:00+02:00,3160.0,330.0
2021-08-24 13:30:00+02:00,3118.0,335.0
2021-08-24 13:45:00+02:00,3064.0,342.0
2021-08-24 14:00:00+02:00,2997.0,350.0
2021-08-24 14:15:00+02:00,2916.0,361.0
2021-08-24 14:30:00+02:00,2823.0,371.0
2021-08-24 14:45:00+02:00,2721.0,382.0
2021-08-24 15:00:00+02:00,2611.0,394.0
2021-08-24 15:15:00+02:00,2491.0,408.0
2021-08-24 15:30:00+02:00,2362.0,423.0
2021-08-24 15:45:00+02:00,2228.0,440.0
2021-08-24 16:00:00+02:00,2093.0,456.0
2021-08-24 16:15:00+02:00,1954.0,477.0
2021-08-24 16:30:00+02:00,1811.0,498.0
2021-08-24 16:45:00+02:00,1665.0,517.0
2021-08-24 17:00:00+02:00,1515.0,537.0
2021-08-24 17:15:00+02:00,1360.0,551.0
2021-08-24 17:30:00+02:00,1203.0,566.0
2021-08-24 17:45:00+02:00,1047.0,579.0
2021-08-24 18:00:00+02:00,893.0,592.0
2021-08-24 18:15:00+02:00,737.0,587.0
2021-08-24 18:30:00+02:00,583.0,583.0
2021-08-24 18:45:00+02:00,442.0,579.0
2021-08-24 19:00:00+02:00,320.0,575.0
2021-08-24 19:15:00+02:00,210.0,573.0
2021-08-24 19:30:00+02:00,115.0,575.0
2021-08-24 19:45:00+02:00,42.0,587.0
2021-08-24 20:00:00+02:00,4.0,598.0
2021-08-24 20:15:00+02:00,0.0,612.0
2021-08-24 20:30:00+02:00,0.0,624.0
2021-08-24 20:45:00+02:00,0.0,631.0
2021-08-24 21:00:00+02:00,0.0,636.0
2021-08-24 21:15:00+02:00,0.0,642.0
2021-08-24 21:30:00+02:00,0.0,646.0
2021-08-24 21:45:00+02:00,0.0,649.0
2021-08-24 22:00:00+02:00,0.0,649.0
2021-08-24 22:15:00+02:00,0.0,652.0
2021-08-24 22:30:00+02:00,0.0,654.0
2021-08-24 22:45:00+02:00,0.0,654.0
2021-08-24 23:00:00+02:00,0.0,654.0
2021-08-24 23:15:00+02:00,0.0,651.0
2021-08-24 23:30:00+02:00,0.0,648.0
2021-08-24 23:45:00+02:00,0.0,645.0
