,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-08-24 00:00:00+02:00,603.0,206.0,1252.5,0.0,-672.25,577.75,91.0,1292.75,114.0,12.0,0.0,50.0,287.0
2021-08-24 01:00:00+02:00,603.0,206.0,1201.5,0.0,-531.25,575.25,47.75,1295.0,114.0,12.0,0.0,50.0,347.25
2021-08-24 02:00:00+02:00,603.0,206.0,1197.5,0.0,-457.25,571.5,120.5,1294.75,114.0,12.0,0.0,50.0,342.25
2021-08-24 03:00:00+02:00,603.0,206.0,1200.25,0.0,-377.0,568.5,143.5,1296.0,114.0,12.0,0.0,50.0,317.0
2021-08-24 04:00:00+02:00,603.0,206.0,1178.0,0.0,-495.0,566.25,139.0,1298.75,114.0,12.0,0.0,50.0,358.0
2021-08-24 05:00:00+02:00,603.0,206.25,1462.75,0.0,-236.5,565.0,108.25,1297.5,114.0,12.0,0.0,50.0,408.75
2021-08-24 06:00:00+02:00,603.0,206.75,1702.0,0.0,-227.0,563.25,128.5,1298.75,114.0,12.0,2.75,50.0,473.75
2021-08-24 07:00:00+02:00,603.0,206.25,2005.0,0.0,581.5,561.5,235.0,1298.75,114.0,12.0,329.5,50.0,437.75
2021-08-24 08:00:00+02:00,603.0,204.5,2109.5,0.0,1356.5,564.5,362.5,1296.75,114.0,12.0,913.5,50.0,375.5
2021-08-24 09:00:00+02:00,603.0,206.0,2099.75,0.0,960.5,564.0,186.0,1298.0,114.0,12.0,1481.25,50.0,325.75
2021-08-24 10:00:00+02:00,603.0,206.0,2092.5,0.0,197.75,562.5,56.25,1296.25,114.0,12.0,1814.0,50.0,284.75
2021-08-24 11:00:00+02:00,603.0,206.0,1920.75,0.0,-57.0,558.25,78.0,1296.75,114.0,12.0,2048.5,50.0,286.0
2021-08-24 12:00:00+02:00,603.0,206.0,1680.25,0.0,-192.75,554.25,149.25,1300.0,114.0,12.0,2000.75,50.0,286.0
2021-08-24 13:00:00+02:00,603.0,206.0,1564.0,0.0,37.5,541.0,183.25,1300.25,114.0,12.0,2006.75,50.0,271.0
2021-08-24 14:00:00+02:00,603.0,206.0,1561.0,0.0,76.75,537.75,214.0,1298.25,114.0,12.0,1936.25,50.0,263.75
2021-08-24 15:00:00+02:00,603.0,206.0,1593.5,0.0,-188.0,536.0,159.25,1297.75,114.0,12.0,1786.5,50.0,277.0
2021-08-24 16:00:00+02:00,603.0,206.0,1670.6666666666667,0.0,-199.66666666666666,541.6666666666666,160.33333333333334,1298.3333333333333,114.0,12.0,1701.3333333333333,50.0,312.6666666666667
